block,Condition,rt_mean,rt_n,rt_sd,rt_se,rt_95_lower,rt_95_upper
1,RANREG,0.6827440476190477,30,0.0367927064270224,0.006717398420581823,0.6695779467147074,0.6959101485233881
1,RANREGr,0.6912962962962964,30,0.0645511550785985,0.01178537458318752,0.6681969621132489,0.714395630479344
1,REPinRAN,0.7086944444444445,30,0.16611715205125394,0.030328703788995784,0.6492501850180128,0.7681387038708762
1,REPinRANr,0.7256896551724138,29,0.099869723911914,0.018545342155471673,0.6893407845476893,0.7620385257971383
2,RANREG,0.6946785714285715,30,0.05621254019791656,0.01026295876035494,0.6745631722582758,0.7147939705988672
2,RANREGr,0.6492493386243388,30,0.054624193006618256,0.009972967565080253,0.6297023221967815,0.668796355051896
2,REPinRAN,0.7497,25,0.1033044538497019,0.02066089076994038,0.7092046540909169,0.7901953459090831
2,REPinRANr,0.7203928571428572,30,0.11321929566975583,0.02067092072772408,0.679877852516518,0.7609078617691963
3,RANREG,0.6860013227513229,30,0.07949174070008369,0.014513139838929115,0.6575555686670218,0.7144470768356239
3,RANREGr,0.629755291005291,30,0.053365130244541356,0.009743095206378827,0.6106588244007886,0.6488517576097935
3,REPinRAN,0.7575641025641027,26,0.10661376893486002,0.020908680316020136,0.7165830891447033,0.7985451159835021
3,REPinRANr,0.7270674603174604,30,0.10372163900919681,0.018936893795581628,0.6899511484781204,0.7641837721568003
4,RANREG,0.674093253968254,30,0.038609423877206214,0.007049084129941471,0.6602770490735688,0.6879094588629393
4,RANREGr,0.620135582010582,30,0.04706584830192718,0.008593008934360578,0.6032932844992354,0.6369778795219287
4,REPinRAN,0.7398055555555556,30,0.09905798722956116,0.01808543136889644,0.7043581100725186,0.7752530010385926
4,REPinRANr,0.7458908045977012,29,0.0782686951634143,0.014534131817046802,0.7174039062362895,0.7743777029591129
